"Japanese Localize","日本語化"
"Name & Address configuration","名前と住所の設定"
"Kana configuration","フリガナ設定"
"Use Kana","フリガナを使用する"
"Require Kana","フリガナ必須"
"Allow Kana type","フリガナに許可する文字"
"Address format option","住所フォーマットオプション"
"Show address on customer registration form","会員登録フォームに住所フィールドを表示"
"Hide country field","国入力欄を隠す"
"Use Japanese style for address fields","住所フィールドの並びを日本仕様にする"
"Last name kana","フリガナ（姓）"
"First name kana","フリガナ（名）"
"Both","両方"
"Only Hiragana","ひらがなのみ"
"Only Katakana","カタカナのみ"
"Tax Rounding Method","税端数丸め方法"
"Floor","切り捨て"
"Ceil","切り上げ"
"Round","四捨五入"
